#   m*(Mo)      B       V       R      (B-V)   (B-R)   (V-R)
 1.914479730  -0.814  -1.756  -2.266   0.942   1.452   0.510
 1.914634940  -0.897  -1.865  -2.384   0.968   1.487   0.519
 1.914776560  -0.971  -1.960  -2.488   0.989   1.517   0.528
 1.914907220  -1.038  -2.047  -2.584   1.009   1.546   0.537
 1.915028450  -1.100  -2.132  -2.678   1.032   1.578   0.546
 1.915141110  -1.163  -2.216  -2.772   1.053   1.609   0.556
 1.915246730  -1.223  -2.300  -2.864   1.077   1.641   0.564
 1.915346260  -1.283  -2.382  -2.956   1.099   1.673   0.574
 1.915440800  -1.342  -2.465  -3.048   1.123   1.706   0.583
 1.915531870  -1.398  -2.546  -3.139   1.148   1.741   0.593
 1.915644170  -1.464  -2.642  -3.249   1.178   1.785   0.607
