Filename,Mean Distance,# Zones,Age (Myr),z
bvr_0.001_9999Myr.dat,0.126457,23,9999,0.001
bvr_0.001_2250Myr.dat,0.1132092,22,2250,0.001
bvr_0.008_1000Myr.dat,0.2419737,21,1000,0.008
bvr_0.008_1250Myr.dat,0.2436049,20,1250,0.008
bvr_0.001_8000Myr.dat,0.1823442,20,8000,0.001
bvr_0.016_1750Myr.dat,0.2374014,20,1750,0.016
bvr_0.008_2000Myr.dat,0.1906922,20,2000,0.008
bvr_0.008_1500Myr.dat,0.1861266,20,1500,0.008
bvr_0.008_2750Myr.dat,0.1994161,19,2750,0.008
bvr_0.008_2250Myr.dat,0.1921496,19,2250,0.008
bvr_0.016_9999Myr.dat,0.0755103,19,9999,0.016
bvr_0.008_1750Myr.dat,0.1876156,19,1750,0.008
bvr_0.008_3000Myr.dat,0.1824391,19,3000,0.008
bvr_0.016_3500Myr.dat,0.2714944,18,3500,0.016
bvr_0.020_1250Myr.dat,0.2542834,18,1250,0.02
bvr_0.020_1000Myr.dat,0.2058913,17,1000,0.02
bvr_0.020_9500Myr.dat,0.0763895,17,9500,0.02
bvr_0.001_8500Myr.dat,0.1884035,16,8500,0.001
bvr_0.008_2500Myr.dat,0.1835548,16,2500,0.008
bvr_0.001_1000Myr.dat,0.2131311,15,1000,0.001
bvr_0.001_1250Myr.dat,0.1400355,14,1250,0.001
bvr_0.016_2000Myr.dat,0.2883844,14,2000,0.016
bvr_0.020_1500Myr.dat,0.2037844,12,1500,0.02
bvr_0.020_1750Myr.dat,0.2292353,6,1750,0.02
bvr_0.016_3250Myr.dat,0.1863383,5,3250,0.016
bvr_0.016_3000Myr.dat,0.2168545,5,3000,0.016
bvr_0.020_2750Myr.dat,0.1947075,4,2750,0.02
bvr_0.020_2500Myr.dat,0.1966593,4,2500,0.02
bvr_0.016_2250Myr.dat,0.2281294,3,2250,0.016
bvr_0.016_2500Myr.dat,0.2056753,3,2500,0.016
bvr_0.020_3250Myr.dat,0.1817501,3,3250,0.02
bvr_0.020_3500Myr.dat,0.3108963,2,3500,0.02
bvr_0.020_3000Myr.dat,0.1527171,2,3000,0.02
bvr_0.016_2750Myr.dat,0.2151933,2,2750,0.016
