Filename,Mean Distance,Mean Distance STD,# Zones
bvr_0.016_1500Myr.dat,0.2327425,0.0785436,24
bvr_0.016_1000Myr.dat,0.1802405,0.0976489,24
bvr_0.001_2500Myr.dat,0.1244516,0.0431469,24
bvr_0.016_1250Myr.dat,0.2168277,0.0915332,25
bvr_0.001_7500Myr.dat,0.1577574,0.0212704,26
bvr_0.001_1500Myr.dat,0.0938879,0.0351184,29
bvr_0.016_9000Myr.dat,0.0720604,0.0175324,31
bvr_0.001_6000Myr.dat,0.1402368,0.0311137,32
bvr_0.001_4000Myr.dat,0.1114703,0.053994,32
bvr_0.016_8000Myr.dat,0.0829962,0.0150237,32
bvr_0.020_3750Myr.dat,0.1178128,0.0126467,33
bvr_0.008_9999Myr.dat,0.1114079,0.0262387,33
bvr_0.016_8500Myr.dat,0.0817455,0.0175246,33
bvr_0.008_9000Myr.dat,0.0968834,0.0283314,34
bvr_0.020_8500Myr.dat,0.0810514,0.0108872,34
bvr_0.001_5500Myr.dat,0.1091084,0.0355034,34
bvr_0.016_7500Myr.dat,0.0955148,0.0140251,34
bvr_0.001_4250Myr.dat,0.1125485,0.0484503,35
bvr_0.020_7500Myr.dat,0.083608,0.0142484,35
bvr_0.020_8000Myr.dat,0.0763,0.0136468,35
bvr_0.001_4500Myr.dat,0.1010983,0.0445163,36
bvr_0.001_6500Myr.dat,0.1509558,0.0277606,36
bvr_0.001_3000Myr.dat,0.1298231,0.0350543,37
bvr_0.001_5000Myr.dat,0.0949005,0.0349241,38
bvr_0.001_4750Myr.dat,0.0995063,0.0419403,38
bvr_0.008_8500Myr.dat,0.0987615,0.0317023,38
bvr_0.001_7000Myr.dat,0.115414,0.0318136,39
bvr_0.001_9000Myr.dat,0.0966912,0.0239317,39
bvr_0.020_4500Myr.dat,0.1005503,0.0190074,39
bvr_0.008_6500Myr.dat,0.1191846,0.035862,39
bvr_0.020_4250Myr.dat,0.1019296,0.0209062,41
bvr_0.001_9500Myr.dat,0.0918448,0.0223467,43
bvr_0.008_8000Myr.dat,0.1082789,0.0279526,43
bvr_0.020_2250Myr.dat,0.1208467,0.0356411,45
bvr_0.016_4500Myr.dat,0.0935134,0.0243772,46
bvr_0.020_2000Myr.dat,0.1120452,0.0429512,47
bvr_0.008_9500Myr.dat,0.0873473,0.0208174,47
bvr_0.016_4750Myr.dat,0.0886242,0.019015,49
bvr_0.020_7000Myr.dat,0.0988944,0.012151,49
bvr_0.008_7500Myr.dat,0.083086,0.0228705,51
bvr_0.008_7000Myr.dat,0.0987924,0.0277951,52
bvr_0.016_4250Myr.dat,0.0965559,0.0235532,52
bvr_0.001_3250Myr.dat,0.1227378,0.0247012,54
bvr_0.001_2750Myr.dat,0.0884747,0.0296807,54
bvr_0.020_4000Myr.dat,0.1026554,0.0163731,55
bvr_0.016_4000Myr.dat,0.1328665,0.024475,55
bvr_0.020_4750Myr.dat,0.0970545,0.011284,56
bvr_0.008_3250Myr.dat,0.0918623,0.0279259,58
bvr_0.008_6000Myr.dat,0.0855358,0.0247052,61
bvr_0.016_7000Myr.dat,0.0965315,0.0121112,62
bvr_0.008_3750Myr.dat,0.0894458,0.0299823,63
bvr_0.016_3750Myr.dat,0.1138529,0.0231062,63
bvr_0.008_5500Myr.dat,0.0990205,0.0301174,64
bvr_0.020_5000Myr.dat,0.0910315,0.0088692,66
bvr_0.008_3500Myr.dat,0.0865605,0.0323368,66
bvr_0.001_3500Myr.dat,0.0888368,0.0291563,68
bvr_0.001_3750Myr.dat,0.0774365,0.0297347,71
bvr_0.008_4000Myr.dat,0.1109456,0.0291261,72
bvr_0.020_6500Myr.dat,0.0956397,0.0128226,74
bvr_0.020_6000Myr.dat,0.0708995,0.0167157,81
bvr_0.016_5000Myr.dat,0.0845757,0.0163583,87
bvr_0.020_5500Myr.dat,0.073264,0.0083973,91
bvr_0.016_6500Myr.dat,0.102104,0.0162834,92
bvr_0.008_4250Myr.dat,0.0879089,0.0200422,95
bvr_0.016_6000Myr.dat,0.0895251,0.0182474,95
bvr_0.016_5500Myr.dat,0.067909,0.0127911,100
bvr_0.008_4500Myr.dat,0.0734994,0.0235989,113
bvr_0.008_4750Myr.dat,0.0541804,0.021151,142
bvr_0.008_5000Myr.dat,0.0422785,0.0190977,149
